s	algo1_time	algo2_time	algo3_time
1	0.000018	0.000069	0.000003
2	0.000020	0.000062	0.000003
3	0.000017	0.000071	0.000002
4	0.000019	0.000078	0.000002
5	0.000025	0.000092	0.000002
6	0.000028	0.000104	0.000002
7	0.000034	0.000115	0.000002
8	0.000039	0.000124	0.000002
9	0.000050	0.000151	0.000002
10	0.000057	0.000149	0.000002
11	0.000070	0.000148	0.000002
12	0.000078	0.000159	0.000002
13	0.000096	0.000170	0.000001
14	0.000108	0.000180	0.000001
15	0.000147	0.000200	0.000002
16	0.000145	0.000202	0.000002
17	0.000187	0.000251	0.000002
18	0.000199	0.000230	0.000002
19	0.000227	0.000240	0.000001
20	0.000253	0.000257	0.000001
21	0.000296	0.000269	0.000002
22	0.000327	0.000299	0.000002
23	0.000382	0.000292	0.000002
24	0.000453	0.000306	0.000002
25	0.000473	0.000311	0.000002
26	0.000520	0.000323	0.000001
27	0.000584	0.000338	0.000002
28	0.000639	0.000350	0.000002
29	0.000736	0.000364	0.000002
30	0.000802	0.000379	0.000002
31	0.000877	0.000389	0.000002
32	0.000938	0.000454	0.000002
33	0.001047	0.000418	0.000002
34	0.001131	0.000417	0.000002
35	0.001359	0.000435	0.000002
36	0.001341	0.000448	0.000002
37	0.001586	0.000459	0.000004
38	0.001627	0.000470	0.000002
39	0.001763	0.000490	0.000003
40	0.001910	0.000519	0.000002
41	0.002135	0.000520	0.000002
42	0.001750	0.000365	0.000002
43	0.001543	0.000354	0.000002
44	0.001716	0.000405	0.000001
45	0.002205	0.000604	0.000002
46	0.002141	0.000419	0.000002
47	0.002107	0.000416	0.000001
48	0.002300	0.000560	0.000001
49	0.002573	0.000428	0.000002
50	0.002587	0.000420	0.000001
51	0.003013	0.000429	0.000002
52	0.003001	0.000440	0.000001
53	0.003126	0.000443	0.000001
54	0.003357	0.000453	0.000001
55	0.003527	0.000460	0.000001
56	0.003794	0.000484	0.000001
57	0.003990	0.000479	0.000001
58	0.004320	0.000486	0.000001
59	0.004441	0.000502	0.000001
60	0.004946	0.000550	0.000002
61	0.005046	0.000500	0.000002
62	0.005550	0.000529	0.000001
