s	algo1_time	algo2_time	algo3_time
1999	0.000000	0.105584	0.000008
7	0.000053	0.000134	0.000003
45279	0.000000	0.615765	0.000008
12	0.000068	0.000110	0.000002
200	4.389888	0.001730	0.000003
14852	0.000000	0.127402	0.000005
68	0.018083	0.000505	0.000002
300	48.257997	0.002527	0.000003
120	0.261460	0.000932	0.000002
1009	0.000000	0.008749	0.000003
