s	algo1_time	algo2_time	algo3_time
188	0.000000	0.001675	0.000001
189	0.000000	0.001593	0.000001
190	0.000000	0.001600	0.000001
191	0.000000	0.001759	0.000001
192	0.000000	0.001618	0.000001
193	0.000000	0.001638	0.000001
194	0.000000	0.001721	0.000001
195	0.000000	0.001655	0.000001
196	0.000000	0.001654	0.000001
197	0.000000	0.001745	0.000001
198	0.000000	0.001684	0.000001
199	0.000000	0.001687	0.000001
200	0.000000	0.001781	0.000001
201	0.000000	0.001694	0.000001
202	0.000000	0.001709	0.000001
203	0.000000	0.001882	0.000001
204	0.000000	0.001720	0.000001
205	0.000000	0.001742	0.000001
206	0.000000	0.001738	0.000001
207	0.000000	0.001827	0.000001
208	0.000000	0.001756	0.000001
209	0.000000	0.001783	0.000001
210	0.000000	0.001769	0.000001
211	0.000000	0.002299	0.000001
212	0.000000	0.002790	0.000002
213	0.000000	0.002117	0.000001
214	0.000000	0.001968	0.000001
215	0.000000	0.001853	0.000001
216	0.000000	0.001839	0.000001
217	0.000000	0.001950	0.000001
218	0.000000	0.002088	0.000001
219	0.000000	0.001894	0.000001
220	0.000000	0.003183	0.000003
221	0.000000	0.003088	0.000002
222	0.000000	0.001899	0.000001
223	0.000000	0.001891	0.000001
224	0.000000	0.001920	0.000001
225	0.000000	0.002242	0.000001
226	0.000000	0.001956	0.000001
227	0.000000	0.002072	0.000002
228	0.000000	0.002133	0.000002
229	0.000000	0.002073	0.000002
230	0.000000	0.001943	0.000001
231	0.000000	0.002027	0.000001
232	0.000000	0.002151	0.000001
233	0.000000	0.002101	0.000001
234	0.000000	0.002036	0.000001
235	0.000000	0.002198	0.000001
236	0.000000	0.002166	0.000002
237	0.000000	0.002105	0.000001
238	0.000000	0.002016	0.000001
239	0.000000	0.002187	0.000001
240	0.000000	0.002223	0.000001
241	0.000000	0.002051	0.000001
242	0.000000	0.002051	0.000001
243	0.000000	0.002481	0.000002
244	0.000000	0.002092	0.000001
245	0.000000	0.002077	0.000001
246	0.000000	0.002214	0.000002
247	0.000000	0.002105	0.000001
248	0.000000	0.002229	0.000002
249	0.000000	0.002110	0.000001
250	0.000000	0.002246	0.000001
251	0.000000	0.002470	0.000003
252	0.000000	0.002374	0.000001
253	0.000000	0.002205	0.000001
254	0.000000	0.002259	0.000001
255	0.000000	0.002333	0.000001
256	0.000000	0.002215	0.000001
257	0.000000	0.002305	0.000001
258	0.000000	0.002343	0.000001
259	0.000000	0.002207	0.000001
260	0.000000	0.002226	0.000001
261	0.000000	0.002364	0.000001
262	0.000000	0.002244	0.000001
263	0.000000	0.002303	0.000002
264	0.000000	0.002262	0.000001
265	0.000000	0.002351	0.000001
266	0.000000	0.002259	0.000001
267	0.000000	0.002284	0.000001
268	0.000000	0.002334	0.000001
269	0.000000	0.002311	0.000001
270	0.000000	0.002328	0.000001
271	0.000000	0.002538	0.000002
272	0.000000	0.002462	0.000002
273	0.000000	0.002324	0.000001
274	0.000000	0.002582	0.000001
275	0.000000	0.002429	0.000001
276	0.000000	0.002469	0.000001
