s	algo1_time	algo2_time	algo3_time
5	0.000019	0.000090	0.000003
200	0.126437	0.000944	0.000003
100	0.006105	0.000522	0.000003
300	0.565007	0.001369	0.000002
5000	0.000000	0.023185	0.000007
50	0.000644	0.000233	0.000001
2000	0.000000	0.009374	0.000004
10000	0.000000	0.046167	0.000009
1	0.000008	0.000042	0.000002
20	0.000067	0.000101	0.000001
20000	0.000000	0.091100	0.000014
10	0.000021	0.000066	0.000001
400	2.060440	0.001817	0.000003
1000	0.000000	0.004530	0.000003
50000	0.000000	0.226207	0.000034
500	0.000000	0.002267	0.000002
