s	algo1_time	algo2_time	algo3_time
1000	0.000000	0.013131	0.000005
50	0.000488	0.000579	0.000003
50000	0.000000	0.443860	0.000005
400	0.287850	0.003139	0.000003
20	0.000045	0.000163	0.000001
20000	0.000000	0.174448	0.000004
2000	0.000000	0.016628	0.000003
5	0.000019	0.000078	0.000002
100	0.002035	0.000808	0.000001
200	0.021483	0.001524	0.000002
10	0.000105	0.000134	0.000002
500	0.000000	0.003880	0.000002
300	0.096553	0.002342	0.000003
5000	0.000000	0.042108	0.000004
1	0.000015	0.000043	0.000001
10000	0.000000	0.083607	0.000004
