s	algo1_time	algo2_time	algo3_time
20000	0.000000	0.195985	0.000006
50	0.000704	0.000407	0.000002
1000	0.000000	0.009093	0.000002
10	0.000025	0.000097	0.000001
200	0.101214	0.001559	0.000003
10000	0.000000	0.099669	0.000004
1	0.000012	0.000048	0.000002
300	0.655749	0.002436	0.000003
100	0.006893	0.001512	0.000003
5	0.000025	0.000113	0.000003
500	0.000000	0.007615	0.000003
50000	0.000000	0.474463	0.000005
5000	0.000000	0.042594	0.000003
2000	0.000000	0.016966	0.000003
20	0.000091	0.000167	0.000002
400	2.218765	0.003182	0.000004
