s	algo1_time	algo2_time	algo3_time
300	0.000383	0.000848	0.000021
10	0.000012	0.000062	0.000003
5	0.000008	0.000045	0.000002
1	0.000004	0.000034	0.000001
1000	0.000000	0.002687	0.000082
50	0.000041	0.000161	0.000005
200	0.000211	0.000531	0.000012
5000	0.000000	0.013556	0.000452
500	0.000000	0.001355	0.000039
20000	0.000000	0.056015	0.001195
20	0.000017	0.000067	0.000002
10000	0.000000	0.016901	0.000506
50000	0.000000	0.091026	0.002513
2000	0.000000	0.003395	0.000099
100	0.000088	0.000181	0.000005
400	0.000291	0.000694	0.000017
