s	algo1_time	algo2_time	algo3_time
50	0.009438	0.000761	0.000004
20000	0.000000	0.192104	0.000007
50000	0.000000	0.461211	0.000008
5000	0.000000	0.045331	0.000003
400	350.177202	0.003467	0.000003
500	0.000000	0.004442	0.000002
2000	0.000000	0.018342	0.000003
10000	0.000000	0.090115	0.000004
1000	0.000000	0.009416	0.000002
20	0.000229	0.000171	0.000002
200	4.664294	0.001703	0.000003
300	56.116567	0.002580	0.000003
5	0.000017	0.000064	0.000002
100	0.103209	0.000851	0.000002
10	0.000038	0.000101	0.000001
1	0.000008	0.000027	0.000001
