s	algo1_time	algo2_time	algo3_time
5	0.000026	0.000095	0.000003
50	0.008473	0.000391	0.000002
50000	0.000000	0.263827	0.000262
10	0.000044	0.000083	0.000002
1	0.000006	0.000026	0.000001
20	0.000224	0.000104	0.000001
20000	0.000000	0.098250	0.000097
500	0.000000	0.002436	0.000004
400	0.000000	0.001945	0.000003
5000	0.000000	0.027956	0.000027
2000	0.000000	0.011714	0.000015
300	21.518355	0.001485	0.000004
10000	0.000000	0.049199	0.000048
1000	0.000000	0.004882	0.000005
200	2.787933	0.000995	0.000003
100	0.096048	0.000512	0.000002
