s	algo1_time	algo2_time	algo3_time
100	0.000145	0.000288	0.000008
1	0.000005	0.000038	0.000002
20	0.000019	0.000084	0.000003
10	0.000011	0.000057	0.000002
5000	0.000000	0.015114	0.000436
50	0.000041	0.000162	0.000004
300	0.000363	0.001380	0.000021
1000	0.000000	0.002592	0.000082
5	0.000008	0.000045	0.000002
20000	0.000000	0.037979	0.001016
50000	0.000000	0.084704	0.002755
400	0.000407	0.000695	0.000019
500	0.000000	0.000841	0.000023
2000	0.000000	0.003459	0.000101
200	0.000141	0.000350	0.000008
10000	0.000000	0.017169	0.000611
