s	algo1_time	algo2_time	algo3_time
300	0.000376	0.000842	0.000021
10	0.000012	0.000062	0.000003
5	0.000007	0.000045	0.000002
1	0.000004	0.000033	0.000001
1000	0.000000	0.002653	0.000082
50	0.000041	0.000161	0.000004
200	0.000216	0.000571	0.000014
5000	0.000000	0.018197	0.000434
500	0.000000	0.001357	0.000039
20000	0.000000	0.044407	0.001040
20	0.000015	0.000070	0.000002
10000	0.000000	0.016893	0.000541
50000	0.000000	0.085547	0.002511
2000	0.000000	0.003373	0.000103
100	0.000092	0.000187	0.000009
400	0.000342	0.000680	0.000018
